Source	Target	features0
2	0	1.0
2	1	1.0
3	1	1.0
3	2	1.0
4	0	1.0
4	2	1.0
5	1	1.0
5	4	1.0
6	2	1.0
6	5	1.0
7	5	1.0
7	6	1.0
8	4	1.0
8	6	1.0
9	1	1.0
9	4	1.0
10	2	1.0
10	7	1.0
11	3	1.0
11	5	1.0
12	2	1.0
12	5	1.0
13	11	1.0
13	5	1.0
14	11	1.0
14	12	1.0
15	2	1.0
15	11	1.0
16	0	1.0
16	2	1.0
17	2	1.0
17	3	1.0
18	4	1.0
18	5	1.0
19	1	1.0
19	5	1.0
20	16	1.0
20	3	1.0
21	8	1.0
21	2	1.0
22	5	1.0
22	14	1.0
23	8	1.0
23	1	1.0
24	4	1.0
24	5	1.0
25	11	1.0
25	22	1.0
26	3	1.0
26	11	1.0
27	25	1.0
27	12	1.0
28	11	1.0
28	5	1.0
29	2	1.0
29	5	1.0
30	3	1.0
30	22	1.0
31	29	1.0
31	6	1.0
32	7	1.0
32	31	1.0
33	2	1.0
33	10	1.0
34	11	1.0
34	5	1.0
35	1	1.0
35	11	1.0
36	32	1.0
36	12	1.0
37	11	1.0
37	7	1.0
38	2	1.0
38	6	1.0
39	2	1.0
39	31	1.0
40	2	1.0
40	5	1.0
41	37	1.0
41	29	1.0
42	32	1.0
42	7	1.0
43	2	1.0
43	5	1.0
44	2	1.0
44	7	1.0
45	2	1.0
45	3	1.0
46	25	1.0
46	37	1.0
47	34	1.0
47	4	1.0
48	11	1.0
48	4	1.0
49	11	1.0
49	5	1.0
50	2	1.0
50	12	1.0
51	9	1.0
51	42	1.0
52	2	1.0
52	11	1.0
53	2	1.0
53	29	1.0
54	48	1.0
54	11	1.0
55	21	1.0
55	53	1.0
56	1	1.0
56	11	1.0
57	33	1.0
57	12	1.0
58	8	1.0
58	57	1.0
59	10	1.0
59	44	1.0
60	2	1.0
60	11	1.0
61	49	1.0
61	22	1.0
62	52	1.0
62	4	1.0
63	2	1.0
63	53	1.0
64	59	1.0
64	45	1.0
65	41	1.0
65	13	1.0
66	25	1.0
66	23	1.0
67	1	1.0
67	4	1.0
68	37	1.0
68	21	1.0
69	11	1.0
69	29	1.0
70	2	1.0
70	35	1.0
71	66	1.0
71	67	1.0
72	9	1.0
72	3	1.0
73	49	1.0
73	5	1.0
74	48	1.0
74	7	1.0
75	12	1.0
